把柄,痛处
把持,操纵
把守,扼守
白净,白皙
白蜡,地蜡
白皙,白净
白昼,白天
百感交集,悲喜交集
百里挑一,凤毛麟角
百思不解,大惑不解
百无禁忌,童言无忌
百折不挠,不屈不挠
摆设,陈设
败兴,乘兴
拜访,访问
拜会,拜见
拜见,拜会
拜望,拜见
拜谒,拜见
搬弄是非,挑拨离间
板滞,呆板
版图,幅员
办法,措施
办法,方法
半老徐娘,残花败柳
伴同,伴随
扮演,表演
帮助,辅助
傍晚,薄暮
包庇,袒护
包抄,包围
包含,包括
包括,包含
包围,包抄
包孕,包含
褒扬,表扬
宝贝,法宝
饱满,丰满
保存,保留
保管,保存
保留,保存
保证,保障
堡垒,碉堡
报仇,报复
报答,答谢
报恩,报仇
报告,呈文
报歉,道歉
抱病,扶病
抱歉,负疚
暴徒,歹徒
爆发,暴发
卑鄙,卑劣
卑躬屈膝,大义凛然
卑贱,卑下
卑劣,卑鄙
卑微,低微
卑下,卑贱
悲哀,悲痛
悲观,达观
悲恸,悲哀
悲痛,悲哀
悲喜交集,百感交集
北风,冬风
备案,存案
背后,背地
背后,当面
背面,反面
背叛,背离
奔波,奔走
奔驰,奔跑
奔忙,奔走
奔跑,奔驰
奔腾,奔跑
奔腾,飞跃
奔走,奔忙
本分,天职
本领,本事
本钱,成本
本色,本质
本事,本领
本性,天性
笨重,粗笨
迸发,爆发
比方,比喻
比较,比拟
比拟,比较
比如,比方
比喻,比方
比照,对比
比照,对照
彼岸,此岸
笔挺,笔直
笔直,笔挺
鄙弃,唾弃
鄙弃,唾弃
必然,必定
必须,必需
必需,必须
庇护,包庇
弊病,弊端
弊端,弊病
避免,防止
边陲,边境
边疆,边境
边境,边疆
边沿,边缘
边缘,边沿
编辑,编纂
编纂,编辑
鞭笞,鞭挞
鞭挞,鞭笞
贬低,贬斥
便当,便利
便当,方便
便利,方便
变革,变更
变更,变革
变卦,变更
变化,变更
变化无常,变化多端
变态,反常
遍及,遍布
遍体鳞伤,体无完肤
辨别,分辨
辩白,分辩
辩白,辩护
辩护,辩解
辩解,辩护
标记,标志
标明,表明
标题,题目
标新立异,别树一帜
标新立异,独树一帜
标志,标记
标准,尺度
表达,表白
表露,暴露
表率,榜样
表示,表现
表现,表示
表扬,表彰
表彰,表扬
别出心裁,别具匠心
别出心裁,独出机杼
别号,别名
别具一格,标新立异
别具一格,别开生面
别离,分离
别离,分手
别名,别号
冰冷,冰凉
冰凉,冰冷
禀赋,天赋
病入膏肓,不可救药
波澜,波涛
波涛,波澜
剥削,抽剥
泊车,停车
博古通今,博学多才
博学多才,博览群书
薄暮,傍晚
薄弱,单薄
补贴,补助
补助,补贴
补缀,缝补
哺养,哺育
哺育,哺养
捕获,捕捉
捕捉,捕获
捕捉,捕获
捕捉,捕获
捕捉,捕获
不安于位,不守妇道
不必,不用
不长进,不成材
不长进,不成才
不成才,不长进
不成材,不长进
不迟不疾,从容不迫
不得善终,天诛地灭
不动声色,不留余地
不动声色,不露声色
不对,错误
不乏其人,不胜枚举
不凡,非凡
不敢则声,吞声忍气
不共戴天,唇齿相依
不管,不论
不过,不外
不合,分歧
不合错误,不对
不及,不迭
不计其数,成千上万
不骄不躁,不卑不亢
不胫而走,不翼而飞
不可救药,病入膏肓
不可胜数,不计其数
不可思议,不堪设想
不伦不类,不三不四
不论,不管
不谋而合,不约而同
不屈不挠,卑躬屈膝
不三不四,不伦不类
不胜枚举,不乏其人
不时,不断
不识时变,不识时务
不识时务,不识时变
不识抬举,不识好歹
不识一丁,不识之无
不识之无,不识一丁
不守妇道,不安于位
不速之客,不请自来
不外,不过
不闻不问,充耳不闻
不问可知,不言而喻
不相上下,并驾齐驱
不相上下,伯仲之间
不雅,不雅观
不雅观,不雅
不言而喻,不问可知
不亦乐乎,不可开交
不翼而飞,不知去向
不用,不必
不由,不禁
不约而同,不谋而合
不知去向,不翼而飞
不只,不仅
布掸子,拂尘
布满,充满
布满,充满
步队,队伍
步伐,步调
步履维艰,寸步难行
步履维艰,大步流星
步人后尘,不落窠臼
部分,部门
部门,部分
猜测,猜想
猜忌,猜疑
猜疑,猜忌
才干,才华
才华,才干
才华盖世,才华出众
才能,才干
才气,才干
才气纵横,天才横溢
财富,财产
采纳,采用
采取,采用
采用,采取
参差,错落
参军,从军
参与,参加
残暴,残酷
残兵败将,兵强马壮
残酷,残暴
残忍,残暴
惨白,苍白
惨恻,惨怆
惨怆,惨恻
惨绝人寰,惨不忍睹
惨绝人寰,惨无人道
灿烂,残暴
仓促,匆促
仓促,仓皇
仓皇,仓促
苍茫,苍莽
苍莽,苍茫
苍穹,天穹
藏身,存身
藏书楼,图书馆
操持,办理
操心,费心
操纵,把持
草木皆兵,杯弓蛇影
草木皆兵,风声鹤唳
层次,档次
查访,察访
查询,查问
察访,查访
差别,差异
差错,错误
差异,差别
拆穿,戳穿
拆散,撮合
搀扶,扶持
搀和,搀杂
搀杂,搀和
产生,发生
谄媚,谄谀
谄谀,谄媚
昌盛,鼎盛
昌盛,繁荣
猖獗,猖狂
猖狂,猖獗
长寿,长命
常年,长年
常人,凡人
场合,场所
场所,场合
畅谈,泛论
倡导,提倡
倡议,倡导
抄录,抄写
超出,超越
超凡,超常
超越,超出
车载斗量,不可多得
彻骨,透骨
撤除,拆除
撤离,撤退
撤退,退却
撤退,退却
澈底,透澈
沉寂,沉静
沉浸,沉迷
沉静,沉寂
沉沦,沉溺
沉闷,烦闷
沉湎,沉沦
沉溺,沉沦
沉重,繁重
沉醉,陶醉
陈腐,陈旧
陈规,成规
陈旧,陈腐
陈列,摆设
陈设,摆设
陈述,陈说
陈说,陈述
晨光,晨曦
晨曦,晨光
称呼,称说
称呼,称谓
称疾,托病
称颂,称赞
称谓,称呼
称誉,称赞
称赞,称颂
成百上千,成千盈百
成本,本钱
成规,陈规
成绩,成就
成就,成绩
呈文,报告
呈现,浮现
呈现,出现
承担,承当
承当,承担
承当,担当
承认,否认
承上启下,承前启后
承袭,承继
诚心,诚恳
惩办,惩处
惩办,惩罚
惩办,惩治
惩处,表彰
惩罚,处分
惩治,惩办
嗤之以鼻,不屑一顾
痴钝,迟钝
痴情,薄情
驰名,驰誉
驰誉,驰名
迟钝,痴钝
持久,长久
持之以恒,铁杵成针
尺度,标准
耻笑,嘲笑
叱责,斥责
斥责,叱责
赤忱,赤心
赤诚,耻辱
赤心,赤忱
充斥,充满
充当,充任
充分,充足
充满,充斥
充满,布满
充沛,充分
充任,充当
充溢,充满
充裕,富余
充足,充分
冲毁,冲垮
冲垮,冲毁
冲垮,冲毁
冲刷,冲洗
冲突,抵触
冲洗,冲刷
冲撞,触犯
虫鸣水沸,蜩螗沸羹
崇拜,崇敬
崇敬,崇拜
抽剥,剥削
抽泣,抽咽
抽咽,抽泣
抽噎,抽泣
仇敌,仇人
仇恨,痛恨
仇人,仇敌
仇视,敌视
愁眉苦脸,愁眉不展
愁眉苦脸,春风得意
愁眉苦脸,春风满面
筹办,筹备
酬报,酬谢
酬谢,酬报
踌躇,迟疑
丑恶,丑陋
丑陋,丑恶
臭名远扬,臭名昭著
臭名昭著,臭名远扬
出错,犯错
出发,动身
出乎意料,出其不意
出类拔萃,超群绝伦
出卖,出售
出面,出头具名
出其不意,出人意料
出人意料,出乎意料
出身,出生
出生,诞生
出生,出身
出生入死,赴汤蹈火
出售,出卖
出售,发售
出头具名,出面
出息,长进
出险,脱险
出现,呈现
出走,出奔
初版,第一版
初级,低级
除暴安良,吊民伐罪
除污去垢,荡瑕涤秽
除夕,大年节
处罚,处分
处分,处罚
处理,处置
处女,童贞
处所,地方
处置,处理
触犯,冲撞
揣测,揣摩
啜泣,抽泣
穿戴,穿着
穿越,穿梭
穿着,穿戴
传播,传布
传布,传播
传送,传递
传闻,风闻
创建,创立
创立,创建
创新,翻新
创造,发明
吹捧,吹嘘
吹嘘,吹捧
垂死挣扎,负隅顽抗
垂涎欲滴,垂涎三尺
锤炼,锻炼
春风,东风
春光,春景
春色,春光
纯粹,纯洁
纯洁,纯粹
纯真,纯挚
纯真,纯粹
纯正,纯粹
纯挚,纯真
蠢笨,笨拙
慈爱,慈祥
慈悲,慈善
慈善,慈悲
慈善,慈祥
慈祥,慈爱
此岸,彼岸
此后,尔后
次第,次序
刺目,刺眼
刺探,打探
刺眼,刺目耀眼
刺眼,刺目
赐赉,赐予
赐予,赐赉
从军,参军
从容不迫,不慌不忙
从容不迫,不迟不疾
从属,附属
匆匆,促
匆促,仓促
匆忙,匆仓促
葱翠,葱茏
葱茏,葱郁
葱郁,葱茏
聪慧,聪明
聪明,聪慧
凑合,对付
粗暴,粗鲁
粗笨,笨重
粗笨,笨重
粗鄙,粗俗
粗糙,粗拙
粗犷,粗暴
粗犷,粗豪
粗鲁,粗暴
粗俗,粗鄙
粗心,大意
粗心大意,粗枝大叶
粗枝大叶,粗心大意
粗拙,粗糙
簇拥,蜂拥
窜改,篡改
篡夺,夺取
催促,督促
摧残,残害
摧毁,捣毁
摧枯拉朽,不堪一击
璀璨,残暴
翠绿,葱绿
村庄,村落
村子,村庄
存案,备案
措施,办法
搭档,错误
搭救,打救
达到,到达
答谢,报答
打坏,打碎
打坏,打碎
打搅,打扰
打搅,打扰
打搅,打扰
打搅,打扰
打开,翻开
打量,端详
打扰,打搅
打碎,打坏
打听,探听
大刀阔斧,大马金刀
大发雷霆,暴跳如雷
大概,大略
大纲,提纲
大公无私,铁面无私
大海捞针,铁树开花
大惑不解,百思不解
大惑不解,百思不解
大街,大巷
大力,鼎力
大力,鼎力
大量,大批
大马金刀,大刀阔斧
大骂,痛骂
大模大样,大摇大摆
大年节,除夕
大批,大量
大权独揽,大权在握
大权在握,大权独揽
大失所望,大喜过望
大显身手,大显神通
大显神通,大显身手
大相径庭,天壤之别
大摇大摆,大模大样
大意,粗心
大约,大概
大致,大抵
大致,大体
大宗,大批
歹徒,暴徒
歹意,恶意
代办,代理
代理,代办
丹青,图画
丹心,赤忱
单薄,薄弱
单独,独自
单身,独身
单身,独身
单身,独身
担当,担负
担负,担当
担任,担负
担心,担忧
担忧,担心
耽搁,耽误
但凡,凡是
诞生,出生
淡泊,恬淡
淡泊,恬澹
淡薄,淡漠
淡漠,淡薄
荡瑕涤秽,除污去垢
刀口上舔血,刀头舔血
刀头舔血,刀口上舔血
倒霉,不幸
倒台,塌台
倒台,坍台
倒运,倒霉
倒置,颠倒
捣蛋,捣鬼
捣鬼,捣乱
捣乱,捣蛋
到达,达到
到手,得手
悼念,吊唁
盗窃,偷盗
道贺,道喜
道路,途径
道歉,报歉
道听,途说
道喜,道贺
得不偿失,得失相当
得寸进尺,贪得无厌
得陇望蜀,得寸进尺
得手,到手
得意忘形,得意洋洋
得意洋洋,得意忘形
得知,得悉
登时,顿时
等待,等候
等候,等待
低级,初级
低贱,卑贱
低三下四,低声下气
低头,抬头
低微,卑微
敌视,仇视
抵触,抵牾
抵达,到达
抵抗,抵御
抵牾,抵触
抵消,对消
抵押,典质
抵御,抵抗
地步,田地
地方,处所
地蜡,白蜡
地理,地舆
地利,天时
地区,地域
