女,少女
彷徨,徘徊
改革,改造
改换,更换
改进,改良
改良,改进
改善,改良
改造,改革
改组,改选
概略,概况
干脆,索性
干涸,干枯
干枯,干涸
干涉,干预
干预,干涉
尴尬,为难
赶紧,赶快
赶紧,赶快
赶紧,赶快
赶快,赶紧
赶忙,赶紧
感触,感想
感触,感受
感恩戴德,深恶痛绝
感化,感召
感激,感谢
感觉,感到
感慨,感叹
感念,感怀
感受,感触
感受,感想
感受,感触
感叹,感慨
感想,感触
感谢,感激
刚刚,刚
纲领,纲要
纲要,纲领
高超,高明
高档,高级
高等,高级
高低,高下
高贵,高尚
高级,高等
高明,高超
高山,深谷
高尚,高贵
高耸,巍峨
高下,高低
高雅,文雅
高枕无忧,万事大吉
膏壤,沃土
告诉,告知
告知,告诉
歌唱,歌颂
歌功颂德,树碑立传
歌颂,歌唱
革新,改革
格局,格式
格式,格局
隔断,隔绝
隔阂,隔膜
隔绝,隔断
隔膜,隔阂
各持己见,各抒己见
各抒己见,各持己见
各有所长,各有千秋
跟从,随从
跟着,随着
更换,改换
耕人之田,为人作嫁
工夫,功夫
工巧,工细
公道,公平
公家,公众
公开,公然
公民,国民
公平,公正
公然,公开
公营,国营
公允,公道
公允,偏颇
公正,公平
公众,公家
功败垂成,功亏一篑
功夫,工夫
功绩,功劳
功劳,功绩
功能,功效
功效,功能
功效如神,万试万灵
功勋,功劳
功用,功能
攻击,攻打
供给,供应
供养,赡养
供应,供给
恭敬,恭顺
恭顺,恭敬
共鸣,共识
共识,共鸣
勾搭,勾结
勾画,勾勒
勾结,勾搭
勾勒,勾画
苟且偷生,苟且偷安
苟且偷生,宁死不屈
苟且偷生,死不足惜
购买,购置
购置,购买
估计,估量
估量,估计
姑苏,苏州
姑妄听之,姑妄言之
姑妄言之,姑妄听之
孤单,孤独
孤独,孤单
孤芳自赏,顾影自怜
孤负,辜负
孤掌难鸣,孤立无援
古道热肠,古貌古心
古怪,怪僻
古貌古心,古道热肠
古装,时装
骨瘦如柴,瘦骨嶙峋
鼓动,煽动
鼓舞,鼓励
固然,虽然
固然,虽然
故弄玄虚,弄虚作假
故土,故乡
顾忌,顾虑
顾影自怜,孤芳自赏
瓜熟蒂落,水到渠成
乖僻,古怪
拐弯抹角,旁敲侧击
怪僻,古怪
怪石嶙峋,危峰兀立
怪样子,四不像
关怀,关心
关联,关系
关切,关心
关系,关联
关心,关怀
观察,视察
观念,观点
管束,管教
贯穿,贯串
贯串,贯穿
灌输,灌注
灌注贯注,灌输
光彩,光荣
光复,收复
光棍,王老五骗子
光亮,光明
光临,光顾
光芒,光辉
光芒耀眼,光彩夺目
光明,光亮
光明磊落,光明正大
光明正大,光明磊落
光荣,光彩
光线,光芒
光阴,时间
光阴似箭,似水流年
光阴似箭,乌飞兔走
广泛,普遍
归结,归纳
归咎,归罪
归入,纳入
归罪,归咎
规规矩矩,规行矩步
规矩,规则
规行矩步,规规矩矩
规则,规矩
鬼鬼祟祟,鬼头鬼脑
鬼头鬼脑,鬼鬼祟祟
贵爵,王侯
贵族子弟,王孙公子
国度,国家
国家,国度
国民,公民
国事,国是
国是,国事
果断,武断
果真,果然
过度,适度
过分,过火
过火,过分
过量,适量
过目不忘,过目成诵
过目成诵,过目不忘
过期,过时
过甚,过火
过时,过期
过头,过火
内耗,内讧
内讧,内耗
内幕,内情
内情,内幕
纳贿,受贿
耐烦,耐心
耐心,耐烦
难熬,难受
难堪,为难
难免,未免
难受,难熬难过
难以估计,无法计算
难以决断,委决不下
囊中物,瓮中鳖
能否,是否
能说会道,能言巧辩
能说会道,贫嘴薄舌
泥像,塑像
拈花惹草,弄柳拈花
年成,年景
年富力强,年迈力衰
年富力强,年轻力壮
年纪,年事
年景,年成
年老,年迈
年龄,年纪
年迈,年老
年青,年轻
年轻,年青
年轻力壮,手轻脚健
年事,年纪
年岁,年纪
年幼无知,少不更事
年终,年初
娘家,外家
啮臂之交,死生之契
啮臂之交,死生之交
您,你
宁当玉碎,宁死不屈
宁可,宁肯
宁死不屈,宁为玉碎，不为瓦全
宁死不屈,宁当玉碎
凝集,凝聚
凝结,凝固
凝结,凝聚
凝聚,凝集
农夫,农民
农民,农夫
农民,农夫
浓厚,浓重
浓烈,浓郁
浓郁,浓烈
浓郁,浓烈
浓重,浓厚
弄法,玩法
弄柳拈花,拈花惹草
弄虚作假,平心而论
奴颜婢膝,奴颜媚骨
奴颜婢膝,神气活现
怒发冲冠,怒气冲天
怒放,盛开
怒吼,咆哮
怒形于色,怒不可遏
虐待,迫害
暖和,温暖
暖和,温暖
讴歌,歌颂
偶尔,偶然
偶尔,偶然
偶然,偶尔
偶然,偶尔
偶然,无意偶尔
偶然,偶尔
爬虫类,爬行动物
爬行,匍匐
爬行动物,爬虫类
徘徊,彷徨
排斥,排挤
排挤,排斥
排解,排遣
排遣,排解
排演,排练
派系,派别
攀登,攀缘
攀爬,攀登
攀缘,攀登
盘诘,盘问
盘考,盘问
盘绕,围绕
盘问,盘考
判别,判断
判定,判断
判定,判断
判断,判定
庞然大物,硕大无朋
旁门,歪路
旁敲侧击,拐弯抹脚
咆哮,怒吼
陪伴,陪同
陪同,陪伴
培养,培育
培育,培养
培植,培养
蓬头垢面,披头散发
碰劲,碰巧
碰巧,碰劲
批驳,批评
批判,批评
批评,批驳
披发,散发
披肝沥胆,肝胆相照
毗连,毗邻
毗邻,毗连
疲惫,疲乏
疲乏,疲惫
疲倦,疲惫
癖好,嗜好
片段,片断
片断,片段
偏僻,偏远
偏远,偏僻
飘荡,飘扬
飘扬,飘荡
贫瘠,贫乏
贫困,贫苦
贫困,贫穷
贫穷,贫困
频次,频率
品尝,品味
品德,品格
品格,品德
品头论足,评头品足
品味,品尝
品质,品德
聘请,聘任
聘任,聘请
聘用,聘请
平常,平凡
平淡,平庸
平淡无奇,平铺直叙
平地,平川
平凡,平常
平和,温和
平话,说书
平铺直叙,平淡无奇
平日,素日
平素,素常
平庸,平淡
平整,平坦
评比,评选
评话,说书
评价,评估
评选,评比
评选,评比
评选,评比
凭仗,凭借
迫不得已,无可奈何
迫害,危害
破釜沉舟,孤注一掷
破坏,损坏
匍匐,爬行
蒲月,五月
朴实,朴素
朴素,朴实
普遍,广泛
撒泼,撒野
撒野,撒泼
赛过,胜过
三言两语,片言只语
散播,散布
散发,披发
丧尽天良,丧心病狂
丧尽天良,伤天害理
丧尽天良,丧心病狂
丧失,损失
丧心病狂,丧尽天良
扫尾,收尾
扫兴,失望
杀害,杀戮
杀戮,杀害
杀人不见血,杀人不眨眼
杀身成仁,视死如归
沙哑,嘶哑
刹那,霎时
煞费苦心,呕心沥血
霎时,刹那
删节,删省
删省,删节
煽动,鼓动
闪烁,闪耀
闪耀,闪烁
善于,擅长
擅长,善于
赡养,供养
伤害,损害
商榷,商议
商讨,商议
商议,商讨
上当,受骗
上下,高低
少不更事,年幼无知
少年老成,少年事重
少年事重,少年老成
少女,女
奢侈,奢靡
奢靡,奢侈
舍己为人,杀人越货
舍近求远,舍本逐末
设身处地,身临其境
申明,声名
申述,申说
申说,申述
申诉,申述
伸展,舒展
伸展,舒展
伸展,舒展
身败名裂,声名狼藉
身材,身体
身经百战,南征北战
身体,身材
身体力行,事必躬亲
深奥,深邃
深沉,深厚
深厚,深沉
深厚,深挚
深化,深入
深刻,深入
深谋远虑,深思熟虑
深入,深刻
深思熟虑,三思而行
深思熟虑,深谋远虑
深邃,深奥
深挚,深厚
神采,神情
神出鬼没,诡秘莫测
神情,神色
神色,神情
审判,审讯
审视,审阅
审问,审讯
审讯,审判
审阅,审视
审阅,审视
渗入,渗透
渗入,渗透
渗透,渗入渗出
渗透,渗入
慎重,稳重
生搬硬套,生吞活剥
生果,水果
生活,生涯
生机,生气
生怕,惟恐
生吞活剥,生搬硬套
生涯,生活
生养,生育
生育,生养
声东击西,围魏救赵
声名,申明
声名狼藉,身败名裂
声明,申明
声响,声音
声誉鹤起,身价百倍
牲口,牲畜
牲口,牲畜
牲畜,牲口
胜败,输赢
胜败,胜负
胜负,输赢
胜负,胜败
胜过,赛过
