肮脏,邋遢
朝秦暮楚,朝三暮四
朝思暮想,牵肠挂肚
鹄候,伫候
鹄立,伫立
海疆,海域
海市蜃楼,空中楼阁
海市蜃楼,子虚乌有
海域,海疆
海域,海疆
害臊,害羞
憨厚,浑厚
憨实,憨厚
含糊,含混
含混,含糊
含辛茹苦,千辛万苦
含义,含意
邯郸之梦,黄粱一梦
寒气,冷气
汗流浃背,挥汗如雨
沆瀣一气,狐群狗党
豪放,豪迈
豪举,壮举
豪迈,豪放
豪爽,豪放
好吃懒做,好逸恶劳
好处,利益
好久,良久
好笑,可笑
好逸恶劳,好吃懒做
好逸恶劳,壮志凌云
好意,好心
好友,挚友
好友,挚友
号令,号召
号召,号令
浩大,浩瀚
浩荡,浩大
耗损,耗费
呵责,呵斥
喝彩,欢呼
合法,正当
合计,总计
何为,作甚
和蔼,和气
和蔼可亲,和颜悦色
和睦,和气
和气,和睦
和气,和蔼
和善,和气
和颜悦色,和蔼可亲
和颜悦色,正颜厉色
核对,核查
核心,中心
黑沉沉,黑洞洞
黑洞洞,黑沉沉
黑糊糊,黑沉沉
黑漆漆,黑压压
黑,黑沉沉
黑黝黝,黑沉沉
很多,良多
很久,良久
恨之入骨,刻骨仇恨
横行霸道,作威作福
横征暴敛,苛捐杂税
衡量,权衡
弘论,宏论
红彤彤,红艳艳
吼叫,呼啸
后辈,子弟
后代,后辈
后代,昆裔
后代,后世
后进,落后
后来居上,青出于蓝
后世,后代
后嗣,后裔
后台,后盾
厚酬,重酬
候鸟,留鸟
呼唤,召唤
呼应,照应
忽冷忽热,乍寒乍热
忽然,溘然
狐疑,怀疑
胡说八道,胡言乱语
胡言乱语,胡说八道
胡言乱语,料事如神
华丽,华美
华美,华丽
华裔,华侨
化为乌有,子虚乌有
化险为夷,转危为安
化妆,化装
化装,化妆
欢畅,欢乐
欢快,欢乐
欢乐,欢喜
欢乐,欢快
欢送,欢迎
欢腾,欢跃
欢天喜地,欢欣鼓舞
欢喜,欢乐
欢欣,欢喜
欢迎,欢送
欢跃,欢腾
还击,回击
环顾,环视
环游,周游
幻想,空想
幻想,理想
荒诞,荒谬
荒诞乖张,荒唐
荒废,旷废
荒凉,荒漠
荒谬,荒诞
荒漠,荒凉
荒漠,荒野
荒唐,荒谬
荒唐,荒诞
荒芜,荒凉
荒野,荒原
荒原,荒野
慌张,张皇
